,y2030,y2040,y2050,CO2_content,source prices,currency,price_unit,CO2_unit,Note
CH4,22.68,20,18,0.2,Download | ENTSOs TYNDP 2024 Scenarios,2021,EUR/MWh,ton/MWh,natural gas prices
CO2,,,,-1,,,EUR/MWh,ton/MWh,"it is a endogenous commodity in the model, so no prices"
H2,63.36,54.36,54.36,,Download | ENTSOs TYNDP 2024 Scenarios,2021,EUR/MWh,ton/MWh,
HC,42.12,41.04,39.6,0.25,Download | ENTSOs TYNDP 2024 Scenarios,2021,EUR/MWh,ton/MWh,ligh oil prices
U-92,6.12,6.12,6.12,,Download | ENTSOs TYNDP 2024 Scenarios,2021,EUR/MWh,ton/MWh,Uranium
bio,16.5,16.5,16.5,,https://github.com/ines-tools/data-pipelines/tree/EU_case/europe/_biomass,2025,EUR/MWh,ton/MWh,European Average Cost
coal,6.48,5.76,5.4,0.37,Download | ENTSOs TYNDP 2024 Scenarios,2021,EUR/MWh,ton/MWh,
crude,33.12,32.04,30.96,0.42,Download | ENTSOs TYNDP 2024 Scenarios,2021,EUR/MWh,ton/MWh,
fossil-CH4,22.68,20,18,0.2,Download | ENTSOs TYNDP 2024 Scenarios,2021,EUR/MWh,ton/MWh,natural gas prices
fossil-HC,42.12,41.04,39.6,0.25,Download | ENTSOs TYNDP 2024 Scenarios,2021,EUR/MWh,ton/MWh,ligh oil prices
global-H2,137.88,108.36,86.76,,Download | ENTSOs TYNDP 2024 Scenarios,2021,EUR/MWh,ton/MWh,Ammonia import prices
waste,-30,-30,-30,0.2,Assumption,2025,EUR/MWh,ton/MWh,Fossil Non-Renewable Waste - Gate Fee
