No,Links,From_node,To_node,Length (Km),Capacity (MW),Potentials (MW),CAPEX (M€/MW/Km),Type,Lifetime
1,elec_AL-GR,AL,GR,500.51,400,500,0.000927054,Overhead,50
2,elec_AL-ME,AL,ME,132,350,500,0.000142424,Overhead,50
3,elec_AL-MK,AL,MK,152.89,500,500,0.000623978,Overhead,50
4,elec_AL-XK,AL,XK,186.68,283,0,0,Overhead,50
5,elec_AL-RS,AL,RS,389.35,500,500,0.000125851,Overhead,50
6,elec_AT-CH,AT,CH,748,1200,500,0.001159171,Overhead,50
7,elec_AT-CZ,AT,CZ,278,900,1000,0.012085468,Overhead,50
8,elec_AT-DE,AT,DE,523.57,5400,2000,0.007011441,Overhead,50
9,elec_AT-HU,AT,HU,214.17,800,2000,0.011997012,Overhead,50
10,elec_AT-IT,AT,IT,780,800,650,0.001715214,Overhead/Subsea,50
11,elec_AT-SI,AT,SI,278.39,950,1000,0.006206688,Overhead,50
12,elec_BA-HR,BA,HR,278,750,1498,0.002127932,Overhead,50
13,elec_BA-ME,BA,ME,171.84,800,500,0.000219507,Overhead,50
14,elec_BA-RS,BA,RS,194.18,530,500,0.000561335,Overhead,50
15,elec_BE-DE,BE,DE,655.11,1000,1100,0.016201859,Overhead,50
16,elec_BE-FR,BE,FR,263.67,4300,2000,0.003458869,Overhead,50
17,elec_BE-UK,BE,UK,320.69,1000,3400,0.007753148,Subsea,50
18,elec_BE-LU,BE,LU,187.46,680,500,0.002240478,Overhead,50
19,elec_BE-NL,BE,NL,173.84,3400,2000,0.011839623,Overhead,50
20,elec_BG-GR,BG,GR,525.73,1700,500,0.000840736,Overhead,50
21,elec_BG-MK,BG,MK,171.95,500,500,0.001279442,Overhead,50
22,elec_BG-RO,BG,RO,301,1500,500,0.001468439,Overhead,50
23,elec_BG-RS,BG,RS,327.72,320,990,0.003426469,Overhead,50
24,elec_BG-TR,BG,TR,853,900,1100,6.39454E-05,Overhead,50
25,elec_CH-AT,CH,AT,683,1200,0,0,Overhead,50
26,elec_CH-DE,CH,DE,751.56,4200,300,0.001668618,Overhead,50
27,elec_CH-FR,CH,FR,436,3700,1000,0.001731651,Overhead,50
28,elec_CH-IT,CH,IT,828,3750,2000,0.003254831,Overhead/Subsea,50
29,elec_CY-GR,CY,GR,916.73,1000,0,0,Subsea,50
30,elec_CZ-AT,CZ,AT,278,900,0,0,Overhead,50
31,elec_CZ-DE,CZ,DE,279.75,2100,500,0.011081323,Overhead,50
32,elec_CZ-PL,CZ,PL,517,1400,1000,0.00150677,Overhead,50
33,elec_CZ-SK,CZ,SK,291,1800,1000,0.003289691,Overhead,50
34,elec_DE-AT,DE,AT,523.33,5400,0,0,Overhead,50
35,elec_DE-BE,DE,BE,651.11,1000,0,0,Overhead,50
36,elec_DE-CH,DE,CH,751.56,4200,2600,0.004182412,Overhead,50
37,elec_DE-CZ,DE,CZ,279.75,2100,0,0,Overhead,50
38,elec_DE-DK,DE,DK,354.85,4700,1000,0.004331971,Overhead/Subsea,50
39,elec_DE-FR,DE,FR,878,3300,1000,0.001494305,Overhead,50
40,elec_DE-LU,DE,LU,591.7,2300,0,0,Overhead,50
41,elec_DE-NL,DE,NL,577.34,5000,2000,0.00402709,Overhead,50
42,elec_DE-NO,DE,NO,838,1400,1000,0.00477327,Subsea,50
43,elec_DE-PL,DE,PL,516.75,3000,2000,0.001044993,Overhead,50
44,elec_DE-SE,DE,SE,81.28,615,1200,0.023394263,Subsea,50
45,elec_DE-UK,DE,UK,725,0,1400,0.001650246,Subsea,50
46,elec_DK-DE,DK,DE,354.85,4700,0,0,Overhead/subsea,50
47,elec_DK-UK,DK,UK,958,1400,1400,0.001096779,Subsea,50
48,elec_DK-NL,DK,NL,620.82,700,1000,0.005235012,Overhead/Subsea,50
