,source,target,y2030,y2040,y2050,polygon,technology,scenario
0,emission,hydrocarbons,3474768.516524559,3680674.1079346216,3991238.82435691,ES,(COEL)FT-MEA_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
1,emission,hydrocarbons,3217495.7163275615,3135573.5807118043,1929126.5954631292,FR,(COEL)FT-MEA_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
2,emission,hydrocarbons,331554.47071914753,376982.11354293703,428651.61805088405,PT,(COEL)FT-MEA_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
3,emission,glass,125340.30599999885,125340.30599999745,125340.30599999626,FR,(EL)-CC_gco_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
4,emission,glass,25013.00999999865,25013.009999999354,25013.009999993148,FR,(EL)-CC_gfi_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
5,emission,glass,49604.10000000187,49604.09999999826,49604.09999999367,FR,(EL)-CC_gfl_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
6,emission,chemicals,398107.30234150775,398120.8440000013,379033.89401008456,ES,(MeOH)O-MEA_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
7,emission,chemicals,758306.4626559796,693753.7235662994,601021.4048639487,FR,(MeOH)O-MEA_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
8,emission,chemicals,151933.854114394,151362.833275115,151515.86343656978,PT,(MeOH)O-MEA_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
9,steel,emission,202256.23330365244,202256.2333036509,202256.23330362246,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
10,steel,emission,433423.864648262,433423.86464825674,433423.86464826297,FR,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
11,emission,ammonia,783840.0000000598,783839.9999999574,753315.7088117078,ES,(NG)NH3-MVR-DEA_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
12,emission,ammonia,1236834.1999999508,1236834.200000002,1185299.4416666143,FR,(NG)NH3-MVR-DEA_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
13,emission,electricity,3.000883521544133e-08,1.1482422468052586e-08,2705129.0784104806,ES,CCGT+CC_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
14,emission,electricity,2.8870317626811964e-09,3.862569533509841e-09,4435144.07838905,FR,CCGT+CC_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
15,emission,electricity,3.0657849863002804e-08,1.1674914673954243e-08,508029.3437234227,PT,CCGT+CC_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
16,cement,emission,4.961176494930191e-09,4.813341286318616e-09,3226315.529411354,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
17,cement,emission,3.7508691676637674e-09,3.452786747811779e-09,893091.101603918,PT,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
18,emission,cement,16382485.723999806,16382485.723999828,4.4821641621130417e-07,ES,CEM2-(BMW)Oxy-MEA_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
19,emission,cement,11182581.805999968,11182581.805999935,11182581.805999447,FR,CEM2-(BMW)Oxy-MEA_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
20,emission,cement,4534910.515999725,4534910.515999807,5.796227791942506e-07,PT,CEM2-(BMW)Oxy-MEA_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
21,methane,emission,23732153.65395558,23723554.46062091,23712158.581441097,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
22,methane,emission,26306988.900720913,29416607.653208636,28089098.84617132,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
23,emission,CO2,31119788.088848703,45282193.19646153,42745203.60569909,ES,DAC_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
24,methane,emission,6532935.3554148255,4804592.222160479,3777313.08498937,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
25,methane,emission,21039637.30085476,6283478.824428051,8511436.469898034,FR,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
26,methane,emission,2128394.4897931386,2148817.684606224,1640841.6144073436,PT,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
27,hydrocarbons,emission,118045733.51941568,65068416.231293514,34354450.36860108,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
28,hydrocarbons,emission,20735274.684091147,4262949.001351303,7.540232900064666e-08,FR,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
29,hydrocarbons,emission,19149532.696537107,2361735.59948753,129780.21071704604,PT,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
30,electricity,emission,525598.9054880221,1024641.5360163839,0.0,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
31,electricity,emission,286045.14255388477,535789.4016492215,0.0,FR,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
32,emission,hydrogen,3730515.1654166495,3650627.007741791,7390020.016012387,ES,SMR+CC_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
33,emission,hydrogen,766654.9976754015,1177935.830571997,637522.6365897895,FR,SMR+CC_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
34,emission,hydrogen,2276588.5710920263,2351574.4858847084,2068223.4730607555,PT,SMR+CC_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
35,steel,emission,285291.67731891165,285291.67731891165,285291.67731891165,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
36,steel,emission,147466.40445755483,147466.40445755483,147466.40445755483,FR,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
37,steel,emission,51540.47853162895,51540.47853162895,51540.47853162895,PT,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
38,buildings heat,emission,272398.69809050485,183182.3285893984,0.0,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
39,buildings heat,emission,160302.08028736053,112859.3625936349,0.0,FR,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
40,buildings heat,emission,34.27952006866043,19.840410809124897,0.0,PT,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
41,methane,emission,167816.87594335317,169394.33399628865,169528.97904890517,ES,atmosphere,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
