,source,target,y2030,y2040,y2050,polygon,technology,scenario
0,biomass,industry,1.9877016053270364,14.625913944995702,33.38764576077372,FR,((BM)MeOH)O_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
1,electricity,industry,0.11765211994147566,0.8657083020402437,1.9762157926937713,FR,((BM)MeOH)O_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
2,hydrogen,industry,1.512407022367558e-15,1.6911314309416048e-15,0.029234062689133204,ES,((BM+H2)MeOH)O_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
3,biomass,industry,7.794713115278952e-15,8.715831221006734e-15,0.15066786155168643,ES,((BM+H2)MeOH)O_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
4,electricity,industry,4.641126893066857e-16,5.189578894950575e-16,0.00897106351223782,ES,((BM+H2)MeOH)O_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
5,hydrogen,industry,1.4687240373449267e-15,1.8980925821145606e-15,0.027699252352762,PT,((BM+H2)MeOH)O_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
6,biomass,industry,7.569577730931545e-15,9.782477153975044e-15,0.14275768520269644,PT,((BM+H2)MeOH)O_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
7,electricity,industry,4.507076816890539e-16,5.824681053511857e-16,0.008500075912832309,PT,((BM+H2)MeOH)O_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
8,biomass,hydrocarbons,306.95662058908084,307.4973690236158,329.30098907439185,ES,(BM)FT_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
9,electricity,hydrocarbons,11.032175175965115,11.051609946404241,11.835243006374482,ES,(BM)FT_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
10,biomass,hydrocarbons,626.2206951502704,523.2601485805948,478.4694093814859,FR,(BM)FT_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
11,electricity,hydrocarbons,22.5066864316338,18.806232654843093,17.196430982680976,FR,(BM)FT_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
12,biomass,hydrocarbons,82.50227465670436,83.0352827578764,88.4392831660335,PT,(BM)FT_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
13,electricity,hydrocarbons,2.965173204870521,2.984329783839412,3.178552273777448,PT,(BM)FT_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
14,CO2,hydrocarbons,28.202000783414967,29.873176754602888,32.39378966282696,ES,(COEL)FT-MEA_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
15,electricity,hydrocarbons,105.92191789436241,112.19857058175955,121.66556391882062,ES,(COEL)FT-MEA_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
16,CO2,hydrocarbons,26.113917022380985,25.44901859193088,15.657224214456043,FR,(COEL)FT-MEA_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
17,electricity,hydrocarbons,98.07943046266001,95.58218505446744,58.80587091794328,FR,(COEL)FT-MEA_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
18,CO2,hydrocarbons,2.6909704627801925,3.0596714028320506,3.4790326925645974,PT,(COEL)FT-MEA_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
19,electricity,hydrocarbons,10.106827334831506,11.491605351103093,13.066655023651396,PT,(COEL)FT-MEA_PT,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
20,hydrogen,industry,0.07275746641636327,0.07275746641636247,0.07275746641636177,FR,(EL)-CC_gco_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
21,electricity,industry,8.430206214689187,8.430206214689095,8.430206214689013,FR,(EL)-CC_gco_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
22,hydrogen,industry,0.004619852743983952,0.0046198527439840825,0.004619852743982936,FR,(EL)-CC_gfi_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
23,electricity,industry,0.8329340659340208,0.8329340659340444,0.8329340659338377,FR,(EL)-CC_gfi_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
24,hydrogen,industry,0.01162841017139279,0.011628410171391941,0.011628410171390864,FR,(EL)-CC_gfl_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
25,electricity,industry,1.4388009049774302,1.438800904977325,1.438800904977192,FR,(EL)-CC_gfl_FR,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
26,CO2,hydrocarbons,1.2260287059451827e-14,11.878911672039944,22.925134279023684,ES,(H2)FT-DC_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
27,hydrogen,hydrocarbons,5.81646906025438e-14,56.35538701081949,108.76036881479048,ES,(H2)FT-DC_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
28,electricity,hydrocarbons,5.819110472160587e-16,0.5638097947743235,1.088097597648901,ES,(H2)FT-DC_ES,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning
