,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
0,((BM)MeOH)O_FR,50.38214153094287,188.1266852279059,664.6030821917099,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,((BM)MeOH)O
1,((BM+H2)MeOH)O_ES,5.240004221815752e-13,5.471402177391016e-13,138.96409898366073,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,((BM+H2)MeOH)O
2,((BM+H2)MeOH)O_PT,5.304230634879245e-13,5.541625965409468e-13,131.66837899520795,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,((BM+H2)MeOH)O
3,(BM)FT_ES,17773.588051237228,24990.010213041878,35194.11593525423,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Biofuel Production
4,(BM)FT_FR,40624.82145818949,40624.82145818949,47196.94316628455,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Biofuel Production
5,(BM)FT_PT,4806.57298653101,6507.120343931199,8475.10824090963,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Biofuel Production
6,(COEL)FT-MEA_ES,10535.745811312063,10535.745811312063,10535.745811312063,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Synfuel Production
7,(COEL)FT-MEA_FR,8921.948041810414,8921.948041810414,5748.017099999889,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Synfuel Production
8,(COEL)FT-MEA_PT,1110.3632045265806,1110.3632045265808,1110.3632045265813,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Synfuel Production
9,(EL)-CC_gco_FR,681.3454337899436,681.3454337899436,681.3454337899407,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gco
10,(EL)-CC_gfi_FR,43.263127853880434,43.263127853880434,43.26312785387804,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gfi
11,(EL)-CC_gfl_FR,108.89554794520164,108.89554794520166,108.8955479451976,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gfl
12,(H2)FT-DC_ES,6.218785651354903e-12,5988.897788687589,12647.93938014161,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Synfuel Production
13,(H2)FT-DC_PT,5.790581862996925e-12,1976.6245515417907,1976.6245515417936,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Synfuel Production
14,(H2)MeOH-DC_ES,4652.701160064196,4652.701160064195,4652.701160064195,methanol,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Syn-production of Methanol
15,(H2)MeOH-DC_FR,8981.12273232116,8981.12273232116,8981.122732321131,methanol,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Syn-production of Methanol
16,(H2)MeOH-DC_PT,1779.3024188571414,1779.3024188571414,1779.3024188571414,methanol,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Syn-production of Methanol
17,(LN)O_ES,344.0037066268111,343.5871526173361,342.8896517211204,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(LN)O
18,(LN)O_FR,664.0291947480736,663.2097270907328,661.8440455214003,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(LN)O
19,(LN)O_PT,131.66837899543296,131.6683789954321,131.3999161846982,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(LN)O
20,(MeOH)O-MEA_ES,344.2998858447515,344.29988584475166,344.2998858447747,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(MeOH)O-MEA
21,(MeOH)O-MEA_FR,664.6030821917763,664.6030821917763,664.6030821917848,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(MeOH)O-MEA
22,(MeOH)O-MEA_PT,131.66837899543356,131.66837899543373,131.66837899546024,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(MeOH)O-MEA
23,(NG)DRI-EAF-MEA_ES,560.6164383561637,560.6164383561637,560.6164383561596,steel,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)DRI-EAF-MEA
24,(NG)DRI-EAF-MEA_FR,1201.3698630136987,1201.3698630136985,1201.3698630136937,steel,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)DRI-EAF-MEA
25,(NG)NH3-MVR-DEA_ES,63.013698630135835,63.01369863013586,63.01369863013594,ammonia,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)NH3-MVR-DEA
26,(NG)NH3-MVR-DEA_FR,99.43036529680552,99.43036529680552,99.43036529680559,ammonia,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)NH3-MVR-DEA
27,(NG)NH3_ES,63.013698630136574,63.013698630136126,63.01369863013582,ammonia,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)NH3
28,(NG)NH3_FR,99.43036529680327,99.43036529680286,99.43036529680262,ammonia,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)NH3
29,(NG)PEA_ES,252.01883561643731,252.01883561643726,252.01883561643115,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)PEA
30,(NG)PEA_FR,140.1966894977134,140.19668949771338,140.19668949770704,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)PEA
31,(NG)PEA_PT,19.820091324200025,19.82009132419997,19.82009132419465,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(NG)PEA
32,(NG)PE_ES,223.78116438356,223.78116438355983,223.78116438354544,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)PE
33,(NG)PE_FR,272.20639269406223,272.20639269406206,272.2063926940472,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)PE
34,(NG)PE_PT,26.921232876710633,26.92123287671043,26.921232876696077,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(NG)PE
35,(NG)_gco_ES,394.3328767123261,394.3328767123258,394.33287671230715,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)_gco
36,(NG)_gco_PT,233.16141552511175,233.16141552511147,233.161415525094,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(NG)_gco
37,(NG)_gfi_ES,7.131963470316104,7.131963470315991,7.131963470305288,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)_gfi
38,(NG)_gfl_ES,95.53767123287436,95.53767123287419,95.53767123285756,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)_gfl
