,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
0,((BM)MeOH)O_FR,50.38214153094287,137.74454369696306,476.476396963804,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,((BM)MeOH)O
1,((BM+H2)MeOH)O_ES,5.240004221815752e-13,2.4409267375745285e-14,138.9640989836602,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,((BM+H2)MeOH)O
2,((BM+H2)MeOH)O_PT,5.304230634879245e-13,2.500743924728742e-14,131.6683789952074,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,((BM+H2)MeOH)O
3,(BM)FT_ES,17773.588051237228,7216.422161804653,10204.105722212347,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Biofuel Production
4,(BM)FT_FR,40624.82145818949,1.740394948973613e-14,6572.121708095063,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Biofuel Production
5,(BM)FT_PT,4806.57298653101,1700.5473574001896,1967.987896978431,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Biofuel Production
6,(COEL)FT-MEA_ES,10535.745811312063,1.7069885093720524e-14,8.235344082699344e-14,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Synfuel Production
7,(COEL)FT-MEA_FR,8921.948041810414,4.608403731019998e-15,2.569840128731468e-13,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Synfuel Production
8,(COEL)FT-MEA_PT,1110.3632045265806,1.5536605657536518e-14,3.7371171753670054e-13,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Synfuel Production
9,(EL)-CC_gco_FR,681.3454337899436,7.761766733288804e-15,1.6982451941824073e-13,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gco
10,(EL)-CC_gfi_FR,43.263127853880434,6.566435865890398e-15,7.028664410670172e-14,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gfi
11,(EL)-CC_gfl_FR,108.89554794520164,6.6082114055434864e-15,1.8942915670013413e-13,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gfl
12,(H2)FT-DC_ES,6.218785651354903e-12,5988.897788687583,6659.041591454021,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Synfuel Production
13,(H2)FT-DC_PT,5.790581862996925e-12,1976.6245515417847,3.0818297686390403e-12,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Synfuel Production
14,(H2)MeOH-DC_ES,4652.701160064196,2.4320786654530705e-14,3.358321063375939e-13,methanol,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Syn-production of Methanol
15,(H2)MeOH-DC_FR,8981.12273232116,2.4309361024866897e-14,8.402709093024168e-13,methanol,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Syn-production of Methanol
16,(H2)MeOH-DC_PT,1779.3024188571414,2.711461621450852e-14,3.706599770810438e-13,methanol,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Syn-production of Methanol
17,(MeOH)O-MEA_ES,344.2998858447515,1.8058885599766113e-13,2.309869747955206e-11,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(MeOH)O-MEA
18,(MeOH)O-MEA_FR,664.6030821917763,3.460658435073417e-14,8.567292997730472e-12,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(MeOH)O-MEA
19,(MeOH)O-MEA_PT,131.66837899543356,1.6765886448114953e-13,2.6616112209364078e-11,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(MeOH)O-MEA
20,(NG)DRI-EAF-MEA_ES,560.6164383561637,2.8707099295052277e-15,5.337924686069987e-14,steel,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)DRI-EAF-MEA
21,(NG)DRI-EAF-MEA_FR,1201.3698630136987,3.0684289525777105e-15,5.182109007776378e-14,steel,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)DRI-EAF-MEA
22,(NG)NH3-MVR-DEA_ES,63.013698630135835,2.2070089341454244e-14,1.0159861623672642e-13,ammonia,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(NG)NH3-MVR-DEA
23,(NG)NH3-MVR-DEA_FR,99.43036529680552,1.9528630824622482e-14,7.934394116629116e-14,ammonia,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)NH3-MVR-DEA
24,CCGT+CC_ES,2.1128407633990616e-11,5.341892683566289e-14,13425.874102258622,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Gas Turbine
25,CCGT+CC_FR,3.756789540654757e-12,2.680151813368293e-12,32704.03613671368,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Gas Turbine
26,CCGT+CC_PT,2.1489224137781988e-11,4.575235035434857e-14,2645.571488630174,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Gas Turbine
27,CEM2-(Afm)MEA_ES,4.769133141240589e-12,3.508200040344511e-14,2648.9331050225105,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,CEM2-(Afm)MEA
28,CEM2-(Afm)MEA_PT,3.774001007384939e-12,3.1211732247933345e-14,733.2632420087987,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,CEM2-(Afm)MEA
29,CEM2-(BMW)Oxy-MEA_ES,2648.9331050228034,3.5161096664985083e-14,1.951019072415007e-12,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,CEM2-(BMW)Oxy-MEA
30,CEM2-(BMW)Oxy-MEA_FR,1808.1450913241936,3.26158163385936e-14,2.424880913303022e-12,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,CEM2-(BMW)Oxy-MEA
31,CEM2-(BMW)Oxy-MEA_PT,733.2632420091022,3.716361209404923e-14,5.443851083003845e-13,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,CEM2-(BMW)Oxy-MEA
32,DAC_ES,3706.9431910481003,1714.3110039276785,1.2387927475259656e-12,CO2,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,DAC
33,PEM_ES,8443.512051641857,5685.832411640263,3739.3052012089524,hydrogen,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Electrolyzer
34,PEM_FR,12089.363146960868,9571.890041903604,3989.904299999986,hydrogen,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Electrolyzer
35,PEM_PT,1263.2689739499901,519.8034368065094,5081.046925807491,hydrogen,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Electrolyzer
36,SMR+CC_ES,4385.4578469219105,4.547951091230845e-14,6341.301823816269,hydrogen,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Steam Methane Reforming
37,SMR+CC_PT,2723.1192645318924,3.2245051811388125e-14,1.4489879229547043e-10,hydrogen,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Steam Methane Reforming
38,air-heatpump-cool_ES,12307.182311000008,3947.4826459999967,3547.854790999998,buildings,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Cooling Unit
39,air-heatpump-cool_FR,18171.204714000058,4969.437123000049,4646.776627999996,buildings,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Cooling Unit
40,air-heatpump-cool_PT,2319.842175000004,743.8626030000086,608.3047590000002,buildings,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Cooling Unit
41,air-heatpump_ES,20637.85811076872,1.4351518615697734e-14,1.0563359484809757e-12,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Air HP
42,air-heatpump_FR,58116.66989283954,1.0911313859550477e-14,1.3554444912605803e-12,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Air HP
43,air-heatpump_PT,1659.182639217863,1.796113674604393e-14,1.2371873143594743e-12,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Air HP
44,bio-boiler_FR,7.782548221379157e-12,1.0236953285208502e-11,60988.13680129094,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Biomass Boiler
45,gas-boiler_ES,33755.64540098383,5384.959942319928,3530.013360682859,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Gas Boiler
46,gas-boiler_FR,5380.518582802495,39320.14179156496,2.3981257133734968e-11,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Gas Boiler
