,unit_name,node,y2030,y2040,y2050,scenario,polygon,technology
0,((BM)MeOH)O_FR,chemicals,75532.66100242738,555784.7299098367,1268730.5389094013,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,((BM)MeOH)O
1,((BM+H2)MeOH)O_ES,chemicals,3.0399381149587923e-10,3.399174176192626e-10,5876.046600515774,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,((BM+H2)MeOH)O
2,((BM+H2)MeOH)O_PT,chemicals,2.9521353150633034e-10,3.8151660900502667e-10,5567.54972290516,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,((BM+H2)MeOH)O
3,(BM)FT_ES,hydrocarbons,155013093.39748585,155286171.35692602,166296999.48256788,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Biofuel Production
4,(BM)FT_FR,hydrocarbons,316241451.0508866,264246375.03320032,241627051.73765036,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Biofuel Production
5,(BM)FT_PT,hydrocarbons,41663648.701635696,41932817.792727575,44661837.998846926,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Biofuel Production
6,(COEL)FT-MEA_ES,CO2,3474768.516524559,3680674.1079346216,3991238.82435691,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Synfuel Production
7,(COEL)FT-MEA_ES,hydrocarbons,77217078.1449902,81792757.9541027,88694196.09682024,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Synfuel Production
8,(COEL)FT-MEA_FR,CO2,3217495.7163275615,3135573.5807118043,1929126.5954631292,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Synfuel Production
9,(COEL)FT-MEA_FR,hydrocarbons,71499904.80727914,69679412.90470676,42869479.89918065,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Synfuel Production
10,(COEL)FT-MEA_PT,CO2,331554.47071914753,376982.11354293703,428651.61805088405,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Synfuel Production
11,(COEL)FT-MEA_PT,hydrocarbons,7367877.127092168,8377380.300954156,9525591.512241868,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Synfuel Production
12,(EL)-CC_gco_FR,CO2,125340.30599999885,125340.30599999745,125340.30599999626,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gco
13,(EL)-CC_gco_FR,glass,5968585.999999944,5968585.999999879,5968585.999999821,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gco
14,(EL)-CC_gfi_FR,CO2,25013.00999999865,25013.009999999354,25013.009999993148,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gfi
15,(EL)-CC_gfi_FR,glass,378984.99999997957,378984.9999999902,378984.99999989616,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gfi
16,(EL)-CC_gfl_FR,CO2,49604.10000000187,49604.09999999826,49604.09999999367,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gfl
17,(EL)-CC_gfl_FR,glass,953925.0000000361,953924.9999999666,953924.9999998782,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(EL)-CC_gfl
18,(H2)FT-DC_ES,hydrocarbons,4.228573006804934e-08,40970366.35686576,79068788.12835269,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Synfuel Production
19,(H2)FT-DC_PT,hydrocarbons,3.90102527028508e-08,12521968.832787115,11800214.906638674,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Synfuel Production
20,(H2)MeOH-DC_ES,methanol,40756275.83348877,40757662.162162304,38801127.35544235,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Syn-production of Methanol
21,(H2)MeOH-DC_FR,methanol,77631701.74610688,71023108.47319825,61532134.200109206,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Syn-production of Methanol
22,(H2)MeOH-DC_PT,methanol,15554243.869204406,15495785.552324355,15511452.030770602,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Syn-production of Methanol
23,(LN)O_ES,chemicals,102.58832184552126,2.703215807294977e-10,138722.0593820798,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(LN)O
24,(LN)O_FR,chemicals,1644.4097856418343,10428.243073198715,1.0379996403066603e-07,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(LN)O
25,(LN)O_PT,chemicals,2400.953678878593,6726.869127948747,5.103335428258255e-09,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(LN)O
26,(MeOH)O-MEA_ES,CO2,398107.30234150775,398120.8440000013,379033.89401008456,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(MeOH)O-MEA
27,(MeOH)O-MEA_ES,chemicals,3015964.411678089,3016067.0000000102,2871468.894015792,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(MeOH)O-MEA
28,(MeOH)O-MEA_FR,CO2,758306.4626559796,693753.7235662994,601021.4048639487,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(MeOH)O-MEA
29,(MeOH)O-MEA_FR,chemicals,5744745.929211967,5255710.02701742,4553192.46109052,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(MeOH)O-MEA
30,(MeOH)O-MEA_PT,CO2,151933.854114394,151362.833275115,151515.86343656978,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(MeOH)O-MEA
31,(MeOH)O-MEA_PT,chemicals,1151014.0463211667,1146688.1308720834,1147847.4502770437,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(MeOH)O-MEA
